# Y-M-D   T H:M:S     ObsNum  ObsGoal      ObgPgm    SourceName                ProjectId                      RestFreq  VLSR      TINT   RA        DEC          AZ    EL
2020-03-06T01:48:45    92176  Calibration  Cal       SEXTANS-A                 2018-S1-MU-64                  115.2712   315       5.0  152.783750  -4.704639  215.2  61.4  0 0
2020-03-06T01:49:06    92177  Science      Map(Ra)   SEXTANS-A                 2018-S1-MU-64                  115.2712   315     847.4  152.783750  -4.704639  215.8  61.3  0 0
2020-03-06T02:10:01    92178  Science      Map(Ra)   SEXTANS-A                 2018-S1-MU-64                  115.2712   315     847.5  152.783750  -4.704639  224.0  58.1  0 0

2020-03-12T00:53:36    92430  Calibration  Cal       SEXTANS-A                 2018-S1-MU-64                  115.2712   315       5.0  152.783750  -4.704639  163.6  65.5  432 0
2020-03-12T00:54:03    92431  Science      Map(Ra)   SEXTANS-A                 2018-S1-MU-64                  115.2712   315     624.0  152.783750  -4.704639  164.4  65.6  432 0
2020-03-12T01:17:10    92434  Calibration  Cal       SEXTANS-A                 2018-S1-MU-64                  115.2712   315       5.0  152.783750  -4.704639  178.0  66.4  432 0
2020-03-12T01:17:36    92435  Science      Map(Ra)   SEXTANS-A                 2018-S1-MU-64                  115.2712   315     624.1  152.783750  -4.704639  178.7  66.4  432 0
2020-03-12T01:41:20    92438  Calibration  Cal       SEXTANS-A                 2018-S1-MU-64                  115.2712   315       5.0  152.783750  -4.704639  192.9  65.9  432 0
2020-03-12T01:41:46    92439  Science      Map(Ra)   SEXTANS-A                 2018-S1-MU-64                  115.2712   315     624.0  152.783750  -4.704639  193.6  65.8  432 0
2020-03-12T02:09:22    92444  Calibration  Cal       SEXTANS-A                 2018-S1-MU-64                  115.2712   315       5.0  152.783750  -4.704639  208.4  63.5  432 0
2020-03-12T02:09:48    92445  Science      Map(Ra)   SEXTANS-A                 2018-S1-MU-64                  115.2712   315     624.0  152.783750  -4.704639  209.0  63.4  432 0
2020-03-12T02:32:39    92448  Calibration  Cal       SEXTANS-A                 2018-S1-MU-64                  115.2712   315       5.0  152.783750  -4.704639  218.9  60.5  432 0
